predict_true,predict_error,true
1.0,3.1226746e-17,0
1.0,4.505013e-17,0
1.0,3.233311e-17,0
1.0,2.2882957e-17,0
1.0,1.2368469e-17,0
0.0061267843,0.99387324,1
0.032906443,0.9670935,1
0.9999987,1.2710397e-06,0
1.0,2.6243848e-17,0
1.0,4.9661876e-17,0
1.0,2.5963242e-17,0
0.99999416,5.869517e-06,0
0.99999964,3.7827306e-07,0
0.9999943,5.738922e-06,0
0.998923,0.0010770013,0
1.0,1.2196152e-16,0
0.03540687,0.9645931,1
0.9999969,3.0744136e-06,0
1.0,3.5272818e-17,0
1.0,2.2803225e-17,0
1.0,3.053994e-17,0
1.0,3.5346764e-17,0
0.9999913,8.702964e-06,0
0.9999933,6.694434e-06,0
1.0,3.412335e-17,0
0.0026492695,0.9973507,1
1.0,3.7510067e-17,0
0.99997985,2.0099442e-05,0
0.99998045,1.9493957e-05,0
1.0,1.4487323e-16,0
1.0,5.146064e-17,0
0.14100736,0.8589927,1
0.99971014,0.0002898603,0
1.0,4.1319038e-17,0
1.0,7.889491e-17,0
1.0,4.9104273e-17,0
1.0,2.127084e-17,0
0.9999969,3.0877802e-06,0
0.9999707,2.9312825e-05,0
1.0,3.9143368e-17,0
0.009955863,0.9900441,1
1.0,3.4388886e-17,0
1.0,2.9555643e-17,0
1.0,2.5219215e-17,0
0.99999213,7.861504e-06,0
1.0,1.7956587e-17,0
1.0,2.1211123e-17,0
0.999997,2.990577e-06,0
1.0,2.4669431e-17,0
1.0,7.740555e-17,0
1.0,3.83747e-17,0
0.9999982,1.778254e-06,0
0.99997854,2.1506063e-05,0
0.0071332934,0.99286675,1
1.0,2.5435829e-17,0
0.018348712,0.9816513,1
0.10830182,0.8916982,1
1.0,2.9141192e-17,0
0.9999944,5.5995474e-06,0
1.0,4.4627453e-18,0
1.0,2.437793e-17,0
0.011746964,0.98825306,1
0.99997437,2.5573e-05,0
1.0,2.923996e-17,0
0.0151247615,0.98487526,1
0.002775105,0.9972249,1
0.9999987,1.3096521e-06,0
1.0,2.3508149e-17,0
1.0,3.3486078e-17,0
1.0,3.2896073e-17,0
1.0,2.4083996e-17,0
1.0,3.2283556e-10,0
1.0,4.5083653e-17,0
0.0802688,0.9197312,1
1.0,3.1111653e-17,0
1.0,6.5700256e-17,0
0.9999949,5.1373972e-06,0
1.0,2.3899308e-17,0
1.0,4.8216824e-17,0
0.003269854,0.9967301,1
0.9999765,2.3430344e-05,0
1.0,5.1669145e-17,0
1.0,2.0145666e-17,0
1.0,4.1188557e-18,0
1.0,5.6977603e-17,0
1.0,7.342994e-17,0
0.00982567,0.9901743,1
1.0,2.2065251e-17,0
1.0,4.6808996e-17,0
1.0,3.0122255e-17,0
0.9999888,1.1181792e-05,0
1.0,3.443181e-17,0
0.0073078824,0.9926922,1
0.99997354,2.6474228e-05,0
0.999982,1.8059587e-05,0
0.009944468,0.99005556,1
1.0,2.6151907e-17,0
1.0,2.9494147e-17,0
1.0,2.2513673e-17,0
1.0,6.71642e-17,0
0.08924715,0.9107529,1
1.0,3.131956e-17,0
1.0,5.862614e-17,0
1.0,7.546434e-17,0
0.095220804,0.9047792,1
1.0,4.8996495e-17,0
0.99999845,1.5336049e-06,0
1.0,2.0818804e-17,0
0.9965881,0.0034118579,0
0.999992,8.010046e-06,0
0.99554574,0.00445422,0
1.0,1.3777676e-16,0
1.0,2.8658116e-17,0
1.0,1.3914794e-16,0
1.0,7.357518e-17,0
1.0,4.1575014e-17,0
1.0,2.443547e-17,0
1.0,3.163453e-16,0
1.0,2.190465e-17,0
1.0,6.601731e-17,0
1.0,8.007132e-17,0
0.9999902,9.719158e-06,0
1.0,4.3825617e-17,0
0.99999154,8.4747135e-06,0
0.0031244252,0.9968755,1
0.04274504,0.95725495,1
0.9999778,2.2170829e-05,0
0.99999726,2.7320195e-06,0
0.004203226,0.9957968,1
0.0057760035,0.994224,1
1.0,2.8044487e-17,0
1.0,9.130698e-17,0
1.0,8.8049234e-17,0
0.9071535,0.09284649,0
0.9999989,1.1162954e-06,0
